Date_Time,Date,Time,Year,DoY,month,Hour,Rg_f,VPD_f,rH_f,Tair_f,Tsoil_f,Methane Turbulent Flux
5/6/2020 0:00,5/6/2020,0:00,2020,126,5,24.0,1.3,399.4,65.6,18.3,16.0,0.003
5/6/2020 0:30,5/6/2020,0:30,2020,127,5,0.5,1.3,587.9,64.9,18.4,15.6,0.023
5/6/2020 1:00,5/6/2020,1:00,2020,127,5,1.0,0.6,534.4,65.5,18.1,15.5,0.008
5/6/2020 1:30,5/6/2020,1:30,2020,127,5,1.5,0.5,483.3,68.0,17.5,14.8,0.005
5/6/2020 2:00,5/6/2020,2:00,2020,127,5,2.0,1.1,560.6,66.3,17.6,14.7,0.001
5/6/2020 2:30,5/6/2020,2:30,2020,127,5,2.5,1.4,489.3,69.1,17.1,14.6,0.002
5/6/2020 3:00,5/6/2020,3:00,2020,127,5,3.0,1.2,424.7,71.6,16.5,14.2,0.001
5/6/2020 3:30,5/6/2020,3:30,2020,127,5,3.5,1.1,443.9,71.0,16.2,13.8,0.017
5/6/2020 4:00,5/6/2020,4:00,2020,127,5,4.0,1.1,490.4,68.7,16.2,13.4,0.0
5/6/2020 4:30,5/6/2020,4:30,2020,127,5,4.5,1.0,541.0,66.1,16.4,12.8,-0.001
5/6/2020 5:00,5/6/2020,5:00,2020,127,5,5.0,0.7,429.2,72.3,15.2,12.1,0.001
5/6/2020 5:30,5/6/2020,5:30,2020,127,5,5.5,0.5,306.3,76.3,14.3,11.7,-0.002
5/6/2020 6:00,5/6/2020,6:00,2020,127,5,6.0,11.4,344.0,85.7,12.6,11.3,-0.003
5/6/2020 6:30,5/6/2020,6:30,2020,127,5,6.5,69.2,306.1,80.0,13.5,11.1,-0.006
5/6/2020 7:00,5/6/2020,7:00,2020,127,5,7.0,16.7,334.4,73.6,14.9,12.1,0.0
5/6/2020 8:00,5/6/2020,8:00,2020,127,5,8.0,251.3,313.6,77.5,15.2,17.0,0.004
5/6/2020 9:00,5/6/2020,9:00,2020,127,5,9.0,499.4,824.0,58.5,18.5,21.4,0.03
5/6/2020 9:30,5/6/2020,9:30,2020,127,5,9.5,612.4,1101.7,47.6,19.7,22.3,-0.001
